year,region,crop,yield_kg_ha,area_ha,production_tonnes,price_usd_kg
2000,Ashanti,Cocoa,414.7,52991,21975,2.721
2001,Ashanti,Cocoa,408.9,50755,20752,3.14
2002,Ashanti,Cocoa,379.7,51531,19567,2.644
2003,Ashanti,Cocoa,398.9,45478,18142,3.119
2004,Ashanti,Cocoa,368.6,51575,19012,2.495
2005,Ashanti,Cocoa,343.2,49939,17140,3.001
2006,Ashanti,Cocoa,402.7,51668,20805,2.413
2007,Ashanti,Cocoa,478.6,50497,24165,3.118
2008,Ashanti,Cocoa,419.4,55647,23340,2.795
2009,Ashanti,Cocoa,396.0,51737,20488,2.931
2010,Ashanti,Cocoa,464.8,48530,22557,2.354
2011,Ashanti,Cocoa,426.0,53132,22632,3.096
2012,Ashanti,Cocoa,427.0,52343,22352,2.303
2013,Ashanti,Cocoa,406.6,50504,20535,2.504
2014,Ashanti,Cocoa,497.2,52675,26191,2.573
2015,Ashanti,Cocoa,535.3,54857,29362,3.098
2016,Ashanti,Cocoa,421.6,53326,22481,2.911
2017,Ashanti,Cocoa,561.5,53839,30229,2.662
2018,Ashanti,Cocoa,556.0,57153,31777,2.776
2019,Ashanti,Cocoa,578.5,56637,32766,3.067
2020,Ashanti,Cocoa,502.4,58069,29172,1.92
2021,Ashanti,Cocoa,578.8,52358,30302,3.15
2022,Ashanti,Cocoa,502.5,56156,28216,3.297
2000,Ashanti,Plantain,9742.9,32537,317013,0.075
2001,Ashanti,Plantain,10270.1,35351,363061,0.082
2002,Ashanti,Plantain,11109.1,34092,378732,0.089
2003,Ashanti,Plantain,9773.0,35035,342398,0.078
2004,Ashanti,Plantain,10259.2,34696,355954,0.083
2005,Ashanti,Plantain,7409.8,34930,258831,0.076
2006,Ashanti,Plantain,10677.3,34417,367484,0.084
2007,Ashanti,Plantain,9749.5,36690,357715,0.08
2008,Ashanti,Plantain,9010.6,35051,315835,0.104
2009,Ashanti,Plantain,12279.8,34790,427215,0.074
2010,Ashanti,Plantain,10873.4,36843,400618,0.087
2011,Ashanti,Plantain,10642.5,37336,397351,0.093
2012,Ashanti,Plantain,13615.6,34310,467159,0.075
2013,Ashanti,Plantain,14508.3,36986,536604,0.08
2014,Ashanti,Plantain,11634.1,34550,401963,0.085
2015,Ashanti,Plantain,12713.2,35930,456795,0.076
2016,Ashanti,Plantain,11219.8,37409,419726,0.068
2017,Ashanti,Plantain,13745.8,39898,548438,0.077
2018,Ashanti,Plantain,11390.5,37001,421460,0.088
2019,Ashanti,Plantain,14513.0,35653,517437,0.086
2020,Ashanti,Plantain,14681.0,37382,548806,0.073
2021,Ashanti,Plantain,13388.3,35519,475542,0.09
2022,Ashanti,Plantain,15000.8,36013,540225,0.088
2000,Ashanti,Cassava,18718.8,45178,845690,0.055
2001,Ashanti,Cassava,21817.6,42231,921394,0.045
2002,Ashanti,Cassava,17562.4,45495,799014,0.052
2003,Ashanti,Cassava,18873.0,49972,943134,0.051
2004,Ashanti,Cassava,19250.0,43809,843337,0.044
2005,Ashanti,Cassava,17649.0,45335,800122,0.054
2006,Ashanti,Cassava,14504.6,43085,624929,0.047
2007,Ashanti,Cassava,20722.0,47262,979377,0.051
2008,Ashanti,Cassava,16379.0,46495,761556,0.05
2009,Ashanti,Cassava,15349.5,47995,736712,0.056
2010,Ashanti,Cassava,15678.1,44999,705510,0.053
2011,Ashanti,Cassava,19441.2,46931,912412,0.055
