farmer_id,region,primary_crop,farm_size_ha,years_experience,household_size,mobile_money,market_access,irrigation,education_level,prev_loan,has_secondary_crop,yield_stability,income_est_usd,loan_amount_usd,repay_probability,loan_repaid
GH00000,Western,Cassava,1.53,22,6,1,0,0,0,1,0,0.848,956,844,0.5811,0
GH00001,Brong-Ahafo,Rice,1.3,2,3,0,1,0,2,0,0,0.781,1175,886,0.6473,0
GH00002,Northern,Yam,1.27,6,6,1,1,0,0,1,1,0.71,766,779,0.6901,1
GH00003,Northern,Rice,2.44,23,3,1,0,0,3,1,1,0.667,1614,514,0.6044,0
GH00004,Greater Accra,Maize,2.89,8,7,0,1,0,1,0,0,0.87,993,885,0.3089,1
GH00005,Upper East,Yam,2.14,14,8,1,1,0,2,0,1,0.43,1609,1420,0.6924,1
GH00006,Brong-Ahafo,Maize,3.66,24,11,0,0,0,0,0,1,0.767,460,423,0.5709,1
GH00007,Northern,Yam,2.73,22,3,0,1,1,2,0,1,0.641,3760,2087,0.7649,1
GH00008,Eastern,Cocoa,1.48,7,6,1,1,0,2,1,0,0.865,1106,607,0.7431,1
GH00009,Upper East,Yam,1.32,21,6,1,0,0,1,0,1,0.543,1149,1237,0.4646,1
GH00010,Brong-Ahafo,Cassava,2.27,13,10,1,1,0,0,0,1,0.872,990,407,0.7961,1
GH00011,Northern,Maize,2.72,41,7,1,0,0,3,1,1,0.635,850,567,0.7573,1
GH00012,Brong-Ahafo,Maize,4.85,10,3,0,0,1,2,0,1,0.67,1475,1913,0.7444,1
GH00013,Brong-Ahafo,Maize,4.19,29,5,0,0,0,2,0,0,0.685,1239,526,0.4782,0
GH00014,Brong-Ahafo,Maize,1.25,12,7,1,1,0,2,1,1,0.802,334,288,0.7946,0
GH00015,Brong-Ahafo,Yam,1.7,33,7,1,1,0,2,0,1,0.743,1275,1406,0.8293,1
GH00016,Volta,Cassava,2.91,12,9,1,1,0,0,1,1,0.78,1517,713,0.8865,1
GH00017,Central,Plantain,3.85,25,4,1,1,0,3,1,0,0.834,2354,1589,0.9212,1
GH00018,Western,Cassava,3.52,16,10,1,1,1,1,0,1,0.921,1648,1599,0.8305,1
GH00019,Western,Plantain,1.74,36,3,0,1,0,2,0,0,0.889,982,680,0.6756,1
GH00020,Northern,Maize,0.76,18,12,1,0,0,2,0,1,0.52,194,100,0.3115,0
GH00021,Brong-Ahafo,Cassava,0.91,26,9,0,0,0,2,0,0,0.702,554,321,0.528,0
GH00022,Eastern,Cassava,2.21,36,7,1,0,0,3,0,1,0.815,933,402,0.496,0
GH00023,Upper West,Rice,2.32,20,7,1,0,0,1,0,1,0.559,1884,2789,0.7526,1
GH00024,Eastern,Cassava,0.84,32,3,1,0,0,2,1,1,0.642,481,280,0.8368,1
GH00025,Ashanti,Plantain,1.88,18,2,0,1,0,2,0,1,0.765,820,768,0.5858,0
GH00026,Northern,Maize,2.83,24,3,1,1,0,0,1,0,0.593,842,686,0.8449,1
GH00027,Volta,Yam,0.81,2,3,1,0,0,1,0,1,0.718,812,799,0.6163,1
GH00028,Upper West,Rice,3.95,11,6,0,0,0,2,0,0,0.668,3171,2847,0.4335,1
GH00029,Brong-Ahafo,Cassava,1.4,9,4,1,1,0,1,1,1,0.601,635,745,0.7244,1
GH00030,Upper East,Rice,4.39,27,9,1,0,0,2,1,1,0.523,4265,5748,0.7325,0
